Partie,Joueur Gagnant,Nombres de coups,Durée
804,3,62,15.5
805,3,13,3.25
806,4,43,10.75
807,1,15,3.75
808,4,42,10.5
809,3,12,3.0
810,4,28,7.0
811,3,15,3.75
812,1,7,1.75
813,3,20,5.0
814,3,9,2.25
815,2,50,12.5
816,1,14,3.5
817,2,16,4.0
818,3,3,0.75
819,4,24,6.0
820,2,14,3.5
821,1,19,4.75
822,1,11,2.75
823,4,31,7.75
824,2,40,10.0
825,3,54,13.5
826,3,67,16.75
827,2,16,4.0
828,1,13,3.25
829,1,28,7.0
830,4,11,2.75
831,4,28,7.0
832,4,17,4.25
833,3,47,11.75
834,4,26,6.5
835,1,12,3.0
836,3,77,19.25
837,3,10,2.5
838,4,13,3.25
839,4,14,3.5
840,3,23,5.75
841,4,38,9.5
842,2,18,4.5
843,1,41,10.25
844,3,11,2.75
845,2,33,8.25
846,3,24,6.0
847,2,14,3.5
848,3,13,3.25
849,1,16,4.0
850,3,65,16.25
851,3,27,6.75
852,4,49,12.25
853,1,46,11.5
854,1,28,7.0
855,4,11,2.75
856,1,13,3.25
857,4,45,11.25
858,1,21,5.25
859,2,49,12.25
860,2,34,8.5
861,1,5,1.25
862,4,13,3.25
863,4,37,9.25
864,4,60,15.0
865,3,18,4.5
866,3,14,3.5
867,2,21,5.25
868,2,33,8.25
869,2,12,3.0
870,2,21,5.25
871,3,20,5.0
872,3,2,0.5
873,4,11,2.75
874,3,53,13.25
875,1,22,5.5
876,2,16,4.0
877,2,42,10.5
878,2,55,13.75
879,2,25,6.25
880,1,30,7.5
881,2,12,3.0
882,2,5,1.25
883,4,40,10.0
884,2,42,10.5
885,3,2,0.5
886,3,13,3.25
887,1,22,5.5
888,2,15,3.75
889,3,20,5.0
890,3,21,5.25
891,4,43,10.75
892,2,6,1.5
893,1,21,5.25
894,3,33,8.25
895,3,12,3.0
896,3,11,2.75
897,2,54,13.5
898,1,46,11.5
899,3,32,8.0
900,2,13,3.25
901,3,13,3.25
902,4,39,9.75
903,3,48,12.0
904,3,12,3.0
905,3,12,3.0
906,3,66,16.5
907,2,19,4.75
908,2,34,8.5
909,2,52,13.0
910,3,11,2.75
911,2,46,11.5
912,4,81,20.25
913,4,15,3.75
914,3,28,7.0
915,1,26,6.5
916,2,62,15.5
917,3,31,7.75
918,1,11,2.75
919,3,22,5.5
920,4,15,3.75
921,1,22,5.5
922,3,86,21.5
923,3,14,3.5
924,2,15,3.75
925,1,57,14.25
926,3,8,2.0
927,3,25,6.25
928,2,15,3.75
929,4,13,3.25
930,3,11,2.75
931,1,16,4.0
932,4,22,5.5
933,1,36,9.0
934,1,9,2.25
935,3,46,11.5
936,3,14,3.5
937,4,51,12.75
938,3,8,2.0
939,3,3,0.75
940,2,28,7.0
941,2,46,11.5
942,3,10,2.5
943,4,29,7.25
944,2,33,8.25
945,3,11,2.75
946,4,14,3.5
947,3,11,2.75
948,4,52,13.0
949,3,13,3.25
950,2,13,3.25
951,3,32,8.0
952,3,28,7.0
953,3,36,9.0
954,3,61,15.25
955,4,17,4.25
956,1,57,14.25
957,3,61,15.25
958,3,17,4.25
959,4,42,10.5
960,3,67,16.75
961,1,9,2.25
962,1,42,10.5
963,1,16,4.0
964,4,11,2.75
965,2,32,8.0
966,2,11,2.75
967,3,13,3.25
968,3,36,9.0
969,1,13,3.25
970,1,10,2.5
971,2,32,8.0
972,3,27,6.75
973,3,12,3.0
974,3,43,10.75
975,1,24,6.0
976,3,13,3.25
977,3,30,7.5
978,2,18,4.5
979,3,22,5.5
980,2,26,6.5
981,1,28,7.0
982,3,3,0.75
983,3,16,4.0
984,1,9,2.25
985,3,13,3.25
986,2,13,3.25
987,2,13,3.25
988,2,18,4.5
989,4,56,14.0
990,3,49,12.25
991,1,78,19.5
992,2,62,15.5
993,2,18,4.5
994,1,32,8.0
995,2,7,1.75
996,3,23,5.75
997,2,26,6.5
998,3,23,5.75
999,3,33,8.25
1000,1,35,8.75
